"","block","Chlamy","mic","temp","well.ID","r.exp"
"335",2,"n","3",33,"2.1.6",-0.105542874908627
"336",2,"n","3",33,"2.2.4",-0.140992276980043
"337",2,"y","3",33,"2.3.6",1.62096459843621
"338",2,"y","3",33,"2.3.7",2.06796834987258
"339",1,"n","3",35,"1.2.3",-0.104829400177765
"340",1,"y","3",35,"1.3.1",1.93739976889662
"341",1,"n","3",35,"1.5.4",-0.0950212557827834
"342",1,"y","3",35,"2.2.5",0.988777075833683
"343",1,"n","3",35,"2.2.8",-0.075683920258357
"344",1,"y","3",35,"2.4.10",1.87708617996653
"345",2,"n","3",35,"1.3.7",-0.0998445890276988
"346",2,"n","3",35,"1.6.7",-0.118476485782227
"347",2,"y","3",35,"2.2.2",2.0259820066861
"348",2,"n","3",35,"2.3.1",-0.147884101839884
"349",2,"y","3",35,"2.3.3",1.73225552128279
"350",2,"y","3",35,"2.4.9",2.12574230530528
"351",1,"n","3",39,"1.3.5",-0.161801494861918
"352",1,"n","3",39,"1.4.2",0.0920472427313014
"353",1,"y","3",39,"1.4.3",1.19509739561281
"354",1,"y","3",39,"2.2.10",1.38489977782473
"355",1,"y","3",39,"2.4.6",0.504835095711359
"356",1,"n","3",39,"2.4.10",-0.201585572640618
"357",2,"y","3",39,"1.1.4",0.993119340961573
"358",2,"n","3",39,"1.1.5",-0.152550039020822
"359",2,"y","3",39,"1.2.2",1.12126732626815
"360",2,"n","3",39,"1.4.5",-0.170957251669323
"361",2,"y","3",39,"1.4.8",1.10508619569892
"362",2,"n","3",39,"2.2.6",-0.11030194448777
"363",1,"n","3",43,"1.3.10",-0.178805049167764
"364",1,"y","3",43,"1.4.9",-0.298116174828248
"365",1,"y","3",43,"1.6.6",-0.224357432606745
"366",1,"n","3",43,"2.2.7",-0.0987958720459264
"367",1,"n","3",43,"2.5.4",-0.155440189278978
"368",1,"y","3",43,"2.6.6",-0.179089507160027
"369",2,"n","3",43,"1.3.7",-0.132307073495249
"370",2,"y","3",43,"2.1.1",-0.308290791982253
"371",2,"y","3",43,"2.1.4",-0.277240281757222
"372",2,"n","3",43,"2.4.8",-0.102510441723082
"373",2,"n","3",43,"2.4.10",-0.0342779934018254
"374",2,"y","3",43,"2.5.2",-0.254749013040008
"375",1,"y","4",8,"1.1.7",-0.0273909409251985
"376",1,"n","4",8,"1.3.2",-0.224250314455331
"377",1,"n","4",8,"2.1.7",-0.102066328894245
"378",1,"y","4",8,"2.2.1",0.0382428499542831
"379",1,"n","4",8,"2.6.1",0.140481110733388
"380",1,"y","4",8,"2.6.5",0.0459472483258372
"381",2,"n","4",8,"1.5.6",-0.102627760889802
"382",2,"y","4",8,"1.6.2",0.174850249400389
"383",2,"y","4",8,"2.3.2",0.158298529772448
"384",2,"n","4",8,"2.4.6",-0.101904300798051
"385",2,"y","4",8,"2.5.1",0.184946065882921
"386",2,"n","4",8,"2.5.7",-0.154245507303604
"387",1,"n","4",14,"1.1.8",-0.0785513623827967
"388",1,"n","4",14,"1.2.9",-0.125964140829081
"389",1,"y","4",14,"1.4.3",0.632574770388368
"390",1,"y","4",14,"1.5.5",0.0648690644400495
"391",1,"y","4",14,"1.6.8",0.383415155074394
"392",1,"n","4",14,"2.2.10",-0.149786815925469
"393",2,"y","4",14,"1.2.7",0.0396909978043146
"394",2,"n","4",14,"1.3.6",-0.0632626769193218
"395",2,"y","4",14,"1.4.5",0.039082848351077
"396",2,"n","4",14,"2.1.9",-0.0909405837216271
"397",2,"y","4",14,"2.5.2",0.498388973018099
"398",2,"n","4",14,"2.6.10",-0.0921247049560902
"399",1,"n","4",20,"1.1.2",0.318511132626083
"400",1,"y","4",20,"1.2.3",0.418138086591145
"401",1,"n","4",20,"1.3.5",-0.206920451434436
"402",1,"y","4",20,"1.5.8",0.965641525501274
"403",1,"n","4",20,"2.3.2",-0.166960074648836
"404",1,"y","4",20,"2.6.6",0.553677397746058
"405",2,"n","4",20,"1.3.2",-0.0770155587983632
"406",2,"n","4",20,"1.4.1",-0.102397424309207
"407",2,"n","4",20,"2.1.10",-0.116225129407076
"408",2,"y","4",20,"2.2.10",0.196454773386301
"409",2,"y","4",20,"2.5.4",0.598827814019439
"410",2,"y","4",20,"2.5.10",1.15998365226338
"411",1,"y","4",25,"1.4.3",1.85048332784402
"412",1,"y","4",25,"2.2.2",1.85998354691043
"413",1,"y","4",25,"2.3.4",1.66596595103807
"414",1,"n","4",25,"2.6.1",-0.142114347252621
"415",1,"n","4",25,"2.6.2",-0.109939322091565
"416",1,"n","4",25,"2.6.9",-0.19399482335827
"417",2,"y","4",25,"1.4.2",0.785209019716782
"418",2,"n","4",25,"1.4.8",-0.039409825001137
"419",2,"n","4",25,"1.5.1",-0.0357108625224069
"420",2,"y","4",25,"2.2.5",0.762505859546416
"421",2,"n","4",25,"2.6.5",-0.0721746350494982
"422",2,"y","4",25,"2.6.8",1.03680464155211
"423",1,"n","4",30,"1.5.8",-0.101834849780413
"424",1,"n","4",30,"8.6.9",-0.145384297683522
"425",1,"y","4",30,"12.5.3",1.26952215222626
"426",1,"n","4",30,"19.4.1",-0.162024850859777
"427",1,"y","4",30,"25.2.5",1.40714228432976
"428",1,"y","4",30,"31.6.4",0.684580636612773
"429",2,"n","4",30,"7.6.9",2.1314406746656
"430",2,"n","4",30,"13.4.5",-0.136201205407789
"431",2,"n","4",30,"16.3.3",-0.138532581269299
"432",2,"y","4",30,"23.3.3",1.39263475313832
"433",2,"y","4",30,"32.1.8",1.50209915100828
"434",2,"y","4",30,"32.2.4",1.49936558207309
"435",1,"n","4",33,"1.2.8",2.45324768271866
"436",1,"n","4",33,"1.6.1",3.16007813826624
"437",1,"n","4",33,"2.2.6",0.175293415848575
"438",1,"y","4",33,"2.3.3",1.6913980088358
"439",1,"y","4",33,"2.4.5",1.70696584340855
"440",1,"y","4",33,"2.6.1",1.90035381068884
"441",2,"n","4",33,"1.5.9",-0.15689052378349
"442",2,"n","4",33,"1.6.3",-0.139657917634585
"443",2,"y","4",33,"2.2.8",2.10997196614853
"444",2,"y","4",33,"2.5.3",2.1044649774341
"445",2,"y","4",33,"2.5.9",1.96630013465262
"446",2,"n","4",33,"2.6.8",-0.145028041325994
"447",1,"n","4",35,"1.4.8",-0.116219030936337
"448",1,"n","4",35,"1.4.9",-0.117053157781538
"449",1,"n","4",35,"1.6.2",-0.170730607354392
"450",1,"y","4",35,"1.6.9",2.04988403274989
"451",2,"n","4",35,"2.4.3",1.27351206025472
"452",1,"y","4",35,"2.5.6",1.93487905661373
"453",2,"y","4",35,"1.1.2",2.31790822137575
"454",2,"y","4",35,"1.4.10",2.24041829259818
"455",2,"y","4",35,"1.5.2",2.00039878140049
"456",2,"n","4",35,"2.1.5",-0.125419744274057
"457",2,"n","4",35,"2.3.4",-0.0897156947504138
"458",1,"n","4",39,"1.2.6",-0.104692628772976
"459",1,"y","4",39,"1.3.10",1.26084610381902
"460",1,"n","4",39,"1.4.4",-0.0791541249170811
"461",1,"y","4",39,"2.5.6",1.3188227465449
"462",1,"y","4",39,"2.5.8",1.42248410870079
"463",1,"n","4",39,"2.6.10",-0.12550579742413
"464",2,"n","4",39,"1.4.7",-0.160980137840727
"465",2,"y","4",39,"1.5.4",1.19773727971114
"466",2,"n","4",39,"2.1.7",-0.159078200148726
"467",2,"n","4",39,"2.2.9",-0.139318963833584
"468",2,"y","4",39,"2.4.9",0.961353209823683
"469",2,"y","4",39,"2.6.3",1.01110754895455
"470",1,"y","4",43,"2.1.7",-0.258313416696889
"471",1,"n","4",43,"2.2.8",-0.165550393715559
"472",1,"y","4",43,"2.3.8",-0.31789754073015
"473",1,"n","4",43,"2.3.10",-0.0878740459288119
"474",1,"y","4",43,"2.4.9",-0.169533189025907
"475",1,"n","4",43,"2.5.10",-0.178555847869465
"476",2,"n","4",43,"1.1.7",-0.0879186410943356
"477",2,"y","4",43,"1.2.1",-0.178408965877562
"478",2,"n","4",43,"2.1.10",-0.0781468367652774
"479",2,"n","4",43,"2.2.7",-0.158566198306726
"480",2,"y","4",43,"2.4.5",-0.214060828626495
"481",2,"y","4",43,"2.5.1",-0.161343114601988
"482",1,"n","5",8,"1.1.1",-0.173557267942739
"483",1,"n","5",8,"1.5.7",-0.125282630570615
"484",1,"y","5",8,"2.1.4",0.0526240472173468
"485",1,"n","5",8,"2.3.9",-0.163303788339928
"486",1,"y","5",8,"2.4.7",0.0595429659423798
