"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"162",3,"7",2,"b3.m7","r_max",1.46133378756751,1.00079433495078,6000
"163",3,"1",3,"b3.m1","K_s",54.3163932814106,1.00183618132514,2600
"164",3,"1",3,"b3.m1","deviance",0.362347653008309,1.00192952211791,2500
"165",3,"1",3,"b3.m1","r_max",1.47102055597863,1.00106435362892,6000
"166",3,"13",3,"b3.m13","K_s",54.9855642476135,1.0009767425714,6000
"167",3,"13",3,"b3.m13","deviance",4.17794886918904,1.0011459840904,5400
"168",3,"13",3,"b3.m13","r_max",1.36941700767741,1.00105697558189,6000
"169",3,"4",1,"b3.m4","K_s",56.1484301767728,1.0010392171277,6000
"170",3,"4",1,"b3.m4","deviance",-18.5281987952901,1.00068500992505,6000
"171",3,"4",1,"b3.m4","r_max",1.48259059315487,1.00075343378455,6000
"172",3,"3",3,"b3.m3","K_s",55.9093782383288,1.00087681385164,6000
"173",3,"3",3,"b3.m3","deviance",-14.5828965770596,1.00114564894668,5400
"174",3,"3",3,"b3.m3","r_max",1.60623105232751,1.00062580303704,6000
"175",3,"10",3,"b3.m10","K_s",55.5326229276831,1.00107847712129,6000
"176",3,"10",3,"b3.m10","deviance",-21.0608699378114,1.00110929325662,5700
"177",3,"10",3,"b3.m10","r_max",1.5181426406094,1.00116171091699,5300
"178",4,"7",2,"b4.m7","K_s",50.8261106886301,1.0016652885475,5400
"179",4,"7",2,"b4.m7","deviance",-10.5763860669734,1.00233448513011,2400
"180",4,"7",2,"b4.m7","r_max",1.54290122463644,1.00057077320541,6000
"181",4,"14",1,"b4.m14","K_s",42.9172950977994,1.00150134928278,3500
"182",4,"14",1,"b4.m14","deviance",-2.87920944287742,1.00092161260603,6000
"183",4,"14",1,"b4.m14","r_max",1.49514618413368,1.00100716426384,6000
"184",4,"2",1,"b4.m2","K_s",45.3183744841519,1.00086461697002,6000
"185",4,"2",1,"b4.m2","deviance",-10.3735626028827,1.00091648659033,6000
"186",4,"2",1,"b4.m2","r_max",1.57863220857014,1.00061117086147,6000
"187",4,"10",1,"b4.m10","K_s",39.2803098686496,1.00064465126301,6000
"188",4,"10",1,"b4.m10","deviance",-6.45991520936161,1.001020263458,6000
"189",4,"10",1,"b4.m10","r_max",1.68837117886396,1.00070498672873,6000
"190",4,"13",2,"b4.m13","K_s",51.2870721055154,1.0010778984341,6000
"191",4,"13",2,"b4.m13","deviance",-2.3015098477145,1.00083822569274,6000
"192",4,"13",2,"b4.m13","r_max",1.57637654733866,1.0011114663294,5700
"193",4,"3",1,"b4.m3","K_s",48.6576025843464,1.00081628806489,6000
"194",4,"3",1,"b4.m3","deviance",2.70511977925623,1.00126026120138,6000
"195",4,"3",1,"b4.m3","r_max",1.58913549598339,1.00074787694144,6000
"196",4,"4",3,"b4.m4","K_s",43.4581733111407,1.0012054475618,5000
"197",4,"4",3,"b4.m4","deviance",6.54877720292396,1.00113132258061,5500
"198",4,"4",3,"b4.m4","r_max",1.59632410402106,1.00146074673461,3600
"199",4,"5",1,"b4.m5","K_s",46.6080044479682,1.00087950924195,6000
"200",4,"5",1,"b4.m5","deviance",-18.5775640421422,1.0007622446374,6000
"201",4,"5",1,"b4.m5","r_max",1.52437653038257,1.0010189241134,6000
"202",4,"11",2,"b4.m11","K_s",47.4737308922443,1.0015308316124,3700
"203",4,"11",2,"b4.m11","deviance",22.0401296724778,1.00120080557143,5000
"204",4,"11",2,"b4.m11","r_max",1.38868155637327,1.00108604895919,6000
"205",4,"8",3,"b4.m8","K_s",44.0378940809603,1.00098025845046,6000
"206",4,"8",3,"b4.m8","deviance",1.62154995603458,1.00113077192529,5500
"207",4,"8",3,"b4.m8","r_max",1.52439130767318,1.00128298846377,4500
"208",4,"15",2,"b4.m15","K_s",41.4389340392803,1.00081761117224,6000
"209",4,"15",2,"b4.m15","deviance",-1.66347230916505,1.00100392998707,6000
"210",4,"15",2,"b4.m15","r_max",1.61939304479693,1.00091977019174,6000
"211",4,"none",2,"b4.mnone","K_s",48.7601519677253,1.00090761059137,6000
"212",4,"none",2,"b4.mnone","deviance",-18.6238948539085,1.00068406753364,6000
"213",4,"none",2,"b4.mnone","r_max",1.45784069474931,1.00098116686583,6000
"214",4,"1",2,"b4.m1","K_s",53.4121391311368,1.00105433235794,6000
"215",4,"1",2,"b4.m1","deviance",9.94185321215416,1.00082609115269,6000
"216",4,"1",2,"b4.m1","r_max",1.61710286756366,1.00123520048354,4800
"217",4,"12",2,"b4.m12","K_s",42.3099379204752,1.00103922272448,6000
"218",4,"12",2,"b4.m12","deviance",-8.97218490835362,1.001207133117,4900
"219",4,"12",2,"b4.m12","r_max",1.4714787449661,1.00180180565215,2700
"220",4,"all",3,"b4.mall","K_s",53.6555969289903,1.00134389395504,6000
"221",4,"all",3,"b4.mall","deviance",-1.39535136518753,1.00075063995047,6000
"222",4,"all",3,"b4.mall","r_max",1.55821343137739,1.00134195066524,4200
"223",4,"6",1,"b4.m6","K_s",45.6461903683506,1.00065323513308,6000
"224",4,"6",1,"b4.m6","deviance",-2.0325820203694,1.0008150642299,6000
"225",4,"6",1,"b4.m6","r_max",1.53233958455002,1.00056043912205,6000
"226",4,"9",2,"b4.m9","K_s",41.2122515136259,1.00130077120568,4400
"227",4,"9",2,"b4.m9","deviance",-9.25322534690836,1.0011876925186,5100
"228",4,"9",2,"b4.m9","r_max",1.49252277676621,1.0010655573874,6000
