"","block","Chlamy","mic","salt","well.ID","r.exp"
"401",1,"n","3",6.67,"30.1.10",-0.137317281923662
"402",2,"y","3",6.67,"1.6.8",0.150222480468372
"403",2,"y","3",6.67,"6.5.7",0.183103402649825
"404",2,"n","3",6.67,"12.3.7",-0.103617781296193
"405",2,"y","3",6.67,"13.5.8",0.20702572384964
"406",2,"n","3",6.67,"14.2.10",-0.0370324955712301
"407",2,"n","3",6.67,"15.6.3",-0.0781524795979607
"408",1,"n","3",5.33,"7.3.5",-0.187936206334219
"409",1,"y","3",5.33,"9.3.2",0.258596954191694
"410",1,"y","3",5.33,"10.1.2",0.344113000913148
"411",1,"y","3",5.33,"13.1.4",0.402033749221057
"412",1,"n","3",5.33,"14.3.4",-0.165677181923324
"413",1,"n","3",5.33,"23.6.10",-0.243385016393586
"414",2,"y","3",5.33,"1.5.2",0.796463802914117
"415",2,"n","3",5.33,"7.5.2",-0.0768760544738857
"416",2,"n","3",5.33,"10.1.1",-0.0824133172714918
"417",2,"y","3",5.33,"10.3.7",0.22526153066875
"418",2,"y","3",5.33,"23.6.5",0.16899079721247
"419",2,"n","3",5.33,"32.6.4",-0.165965005629759
"420",1,"n","4",9.33,"1.1.5",-0.104579803267433
"421",1,"y","4",9.33,"1.4.6",0.190592285473052
"422",1,"y","4",9.33,"4.4.7",0.102139500996328
"423",1,"y","4",9.33,"14.4.2",0.110330511166774
"424",1,"n","4",9.33,"21.2.2",-0.142725093918115
"425",1,"n","4",9.33,"21.4.1",-0.290307027196808
"426",2,"y","4",9.33,"9.4.3",0.0210432568856487
"427",2,"n","4",9.33,"23.5.7",-0.0960462628884409
"428",2,"y","4",9.33,"26.2.6",-0.116129764189315
"429",2,"y","4",9.33,"26.2.9",-0.141415763365143
"430",2,"n","4",9.33,"29.2.3",-0.144174081444577
"431",2,"n","4",9.33,"30.5.9",-0.133589030032838
"432",1,"n","4",1.33,"1.1.7",-0.0880073064641407
"433",1,"y","4",1.33,"2.4.3",1.32587782636017
"434",1,"y","4",1.33,"7.2.5",0.592643916579292
"435",1,"n","4",1.33,"17.5.3",-0.230378921535294
"436",1,"n","4",1.33,"22.4.8",-0.159730381858734
"437",1,"y","4",1.33,"26.6.10",1.05499274892436
"438",2,"y","4",1.33,"3.2.6",1.54166234360629
"439",2,"y","4",1.33,"15.6.9",1.27547755347917
"440",2,"n","4",1.33,"19.2.4",-0.153438975426076
"441",2,"n","4",1.33,"20.6.4",-0.0549309632532745
"442",2,"n","4",1.33,"31.1.1",-0.17379909068367
"443",2,"y","4",1.33,"31.2.4",0.344151842555539
"444",1,"n","4",2.67,"8.6.6",-0.058617845639272
"445",1,"y","4",2.67,"10.4.4",0.500717731178924
"446",1,"n","4",2.67,"11.3.5",0.186599036470253
"447",1,"n","4",2.67,"14.2.7",-0.162375578191645
"448",1,"y","4",2.67,"14.5.7",0.384102479881724
"449",1,"y","4",2.67,"24.3.5",0.569969685170747
"450",2,"y","4",2.67,"12.4.1",0.590474611029558
"451",2,"n","4",2.67,"13.6.2",-0.150361717518885
"452",2,"n","4",2.67,"25.4.7",-0.0845579975378225
"453",2,"y","4",2.67,"27.5.5",0.346025430356962
"454",2,"n","4",2.67,"29.2.10",-0.111853152198794
"455",2,"y","4",2.67,"32.1.5",0.711408200556344
"456",1,"y","4",8,"4.4.6",0.126718592302592
"457",1,"n","4",8,"4.5.8",-0.0559582332293386
